user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
4860,452,3,171.08,1,2,4,124,Обычные клиенты
4748,305,4,171.09,2,4,4,244,Нельзя потерять
4751,139,3,171.11,5,2,4,524,Потенциальные лоялисты
654,149,4,171.14,4,4,4,444,Лояльные клиенты
4750,169,3,171.14,4,2,4,424,Потенциальные лоялисты
2986,319,4,171.31,2,4,4,244,Нельзя потерять
1142,222,4,171.54,3,3,4,334,Обычные клиенты
862,240,5,171.54,3,5,4,354,Обычные клиенты
1801,152,3,171.64,4,2,4,424,Потенциальные лоялисты
3907,368,3,171.66,2,3,4,234,Обычные клиенты
1125,41,4,171.68,5,3,4,534,Потенциальные лоялисты
3810,336,6,171.69,2,5,4,254,Нельзя потерять
966,57,2,171.86,5,2,4,524,Потенциальные лоялисты
3111,337,4,172.11,2,4,4,244,Нельзя потерять
1195,512,1,172.39,1,1,4,114,Потерянные
3704,233,3,172.54,3,3,4,334,Обычные клиенты
4239,395,4,172.72,1,4,4,144,Нельзя потерять
4429,322,3,172.85,2,2,4,224,Засыпающие
977,593,4,172.95,1,4,4,144,Нельзя потерять
3497,132,5,173.2,5,5,4,554,Лояльные клиенты
1693,194,5,173.38,4,4,4,444,Лояльные клиенты
1398,167,4,173.42,4,4,4,444,Лояльные клиенты
1390,361,4,174.14,2,3,4,234,Обычные клиенты
304,347,3,174.21,2,2,4,224,Засыпающие
3641,396,4,174.25,1,4,4,144,Нельзя потерять
3861,319,4,174.31,2,4,4,244,Нельзя потерять
4424,356,3,174.66,2,3,4,234,Обычные клиенты
2473,237,3,174.75,3,3,4,334,Обычные клиенты
273,403,4,174.76,1,4,4,144,Нельзя потерять
1073,152,5,174.92,4,4,4,444,Лояльные клиенты
3644,200,5,175.09,4,4,4,444,Лояльные клиенты
4147,308,5,175.25,2,4,4,244,Нельзя потерять
4659,156,3,175.46,4,2,4,424,Потенциальные лоялисты
4288,212,3,175.46,4,3,4,434,Потенциальные лоялисты
3259,240,5,175.54,3,5,4,354,Обычные клиенты
243,60,4,175.61,5,4,4,544,Лояльные клиенты
2309,184,3,175.64,4,2,4,424,Потенциальные лоялисты
1223,64,3,175.72,5,3,4,534,Потенциальные лоялисты
1151,340,4,175.73,2,4,4,244,Нельзя потерять
3876,168,4,175.81,4,4,4,444,Лояльные клиенты
2117,389,4,175.86,1,4,4,144,Нельзя потерять
2490,60,3,176.05,5,3,4,534,Потенциальные лоялисты
2426,215,4,176.22,4,4,4,444,Лояльные клиенты
1867,201,7,176.25,4,5,4,454,Лояльные клиенты
983,348,2,176.44,2,2,4,224,Засыпающие
3458,381,3,176.49,1,3,4,134,Обычные клиенты
1973,464,4,176.75,1,3,4,134,Обычные клиенты
3772,137,5,176.79,5,5,4,554,Лояльные клиенты
4404,302,6,177.02,2,5,4,254,Нельзя потерять
997,99,5,177.16,5,4,4,544,Лояльные клиенты
4385,137,4,177.26,5,4,4,544,Лояльные клиенты
4670,103,5,177.29,5,5,4,554,Лояльные клиенты
2012,419,4,177.71,1,4,4,144,Нельзя потерять
3063,264,4,177.77,3,4,4,344,Обычные клиенты
1787,356,3,177.83,2,3,4,234,Обычные клиенты
938,358,3,177.83,2,3,4,234,Обычные клиенты
4477,124,3,177.95,5,3,4,534,Потенциальные лоялисты
2027,261,4,177.97,3,3,4,334,Обычные клиенты
3142,69,4,178.1,5,4,4,544,Лояльные клиенты
455,141,4,178.11,5,4,4,544,Лояльные клиенты
3599,55,5,178.31,5,5,4,554,Лояльные клиенты
834,289,4,178.33,3,4,4,344,Обычные клиенты
784,126,4,178.44,5,3,4,534,Потенциальные лоялисты
897,263,4,178.49,3,4,4,344,Обычные клиенты
4243,276,3,178.61,3,3,4,334,Обычные клиенты
2267,350,5,178.64,2,5,4,254,Нельзя потерять
56,361,3,178.76,2,3,4,234,Обычные клиенты
4342,96,4,178.84,5,4,4,544,Лояльные клиенты
4178,300,2,178.85,2,2,4,224,Засыпающие
3683,351,6,178.86,2,5,4,254,Нельзя потерять
4929,200,6,178.87,4,5,4,454,Лояльные клиенты
3219,142,6,179.05,5,5,4,554,Лояльные клиенты
3220,352,7,179.11,2,5,4,254,Нельзя потерять
3848,437,5,179.24,1,5,4,154,Нельзя потерять
2731,249,4,179.73,3,3,4,334,Обычные клиенты
2270,296,6,179.87,3,5,4,354,Обычные клиенты
2729,162,5,180.48,4,4,4,444,Лояльные клиенты
4828,319,5,180.53,2,4,4,244,Нельзя потерять
1994,318,4,180.59,2,4,4,244,Нельзя потерять
4252,205,4,180.71,4,4,4,444,Лояльные клиенты
203,239,2,181.1,3,1,4,314,Засыпающие
713,201,2,181.1,4,2,4,424,Потенциальные лоялисты
4769,78,4,181.9,5,4,4,544,Лояльные клиенты
